유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,17.1,31.2
기타관광,기타관광,17.1,68.8
레저스포츠,기타레저스포츠,10.1,2.9
레저스포츠,수상레저스포츠,10.1,3.7
레저스포츠,육상레저스포츠,10.1,93.5
문화관광,기타문화관광지,9.8,2.4
문화관광,도시공원,9.8,39.4
문화관광,랜드마크관광,9.8,7.1
문화관광,복합관광시설,9.8,9.1
문화관광,테마공원,9.8,17.0
문화관광,레저스포츠시설,9.8,4.3
문화관광,공연시설,9.8,15.6
문화관광,전시시설,9.8,5.2
쇼핑,쇼핑몰,19.1,94.6
쇼핑,시장,19.1,2.9
쇼핑,기타쇼핑시설,19.1,2.4
숙박,기타숙박,3.8,0.0
숙박,모텔,3.8,23.9
숙박,펜션/민박,3.8,15.2
숙박,호스텔,3.8,2.6
숙박,호텔,3.8,12.9
숙박,캠핑,3.8,45.3
역사관광,역사유물,1.8,4.5
역사관광,역사유적지,1.8,35.1
역사관광,종교성지,1.8,60.4
음식,간이음식,36.6,9.5
음식,외국식,36.6,6.3
음식,음식점기타,36.6,0.5
음식,전문음식,36.6,18.2
음식,한식,36.6,37.7
음식,카페/찻집,36.6,27.8
자연관광,자연경관(하천/해양),1.5,31.9
자연관광,자연경관(산),1.5,42.4
자연관광,자연공원,1.5,25.7
체험관광,농/산/어촌체험,0.3,68.7
체험관광,웰니스관광,0.3,26.3
체험관광,공예체험,0.3,4.9
