업종중분류명,현지인 검색비율,외지인 검색비율
음식,47.6,34.7
기타관광,18.2,16.9
쇼핑,12.5,20.3
문화관광,8.9,10.0
레저스포츠,5.5,11.0
숙박,3.8,3.8
역사관광,1.8,1.7
자연관광,1.5,1.5
체험관광,0.3,0.3
