순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객 수 총계
1,경기도,파주시,임진각관광지,202205,131070,131070.0
2,경기도,파주시,벽초지수목원,202205,87436,87436.0
3,경기도,파주시,퍼스트가든,202205,35841,35841.0
4,경기도,파주시,공릉관광지(하니랜드),202205,28384,28384.0
5,경기도,파주시,헤이리예술마을,202205,24521,24521.0
6,경기도,파주시,통일전망대,202205,21160,21160.0
7,경기도,파주시,서서울컨트리클럽,202205,13325,13325.0
8,경기도,파주시,율곡선생유적지,202205,8997,8997.0
9,경기도,파주시,서원밸리골프클럽,202205,8744,8744.0
10,경기도,파주시,파주삼릉,202205,7136,7136.0
11,경기도,파주시,황희선생유적지,202205,6514,6514.0
12,경기도,파주시,베스트밸리,202205,5479,5479.0
13,경기도,파주시,경기미래교육 파주캠퍼스,202205,4665,4665.0
14,경기도,파주시,파주장릉,202205,3990,3990.0
15,경기도,파주시,제3땅굴,202205,3906,3906.0
16,경기도,파주시,소울원,202205,3853,3853.0
17,경기도,파주시,황포돛배,202205,3380,3380.0
18,경기도,파주시,우농타조농장,202205,2500,2500.0
19,경기도,파주시,산머루농원,202205,1540,1540.0
20,경기도,파주시,쇠꼴마을,202205,712,712.0
21,경기도,파주시,두루뫼박물관,202205,121,121.0
22,경기도,파주시,영집궁시박물관,202205,94,94.0
