유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,60.0,8.7
음식,음식점기타,60.0,0.3
음식,전문음식,60.0,19.1
음식,카페/찻집,60.0,28.5
음식,한식,60.0,34.4
음식,외국식,60.0,9.0
문화관광,기타문화관광지,14.1,6.4
문화관광,도시/지역문화관광,14.1,0.1
문화관광,도시공원,14.1,38.1
문화관광,랜드마크관광,14.1,3.1
문화관광,레저스포츠시설,14.1,2.2
문화관광,복합관광시설,14.1,8.3
문화관광,전시시설,14.1,5.4
문화관광,테마공원,14.1,7.1
문화관광,공연시설,14.1,29.4
기타관광,기타관광,10.5,100.0
레저스포츠,기타레저스포츠,6.7,1.8
레저스포츠,육상레저스포츠,6.7,93.4
레저스포츠,수상레저스포츠,6.7,4.8
숙박,캠핑,3.2,41.4
숙박,호텔,3.2,35.3
숙박,펜션/민박,3.2,0.1
숙박,콘도미니엄,3.2,0.8
숙박,모텔,3.2,22.4
숙박,기타숙박,3.2,0.1
자연관광,자연경관(산),2.0,36.8
자연관광,자연경관(하천/해양),2.0,4.5
자연관광,자연공원,2.0,58.6
역사관광,역사유물,1.9,0.4
역사관광,역사유적지,1.9,23.0
역사관광,종교성지,1.9,76.6
쇼핑,시장,0.8,54.4
쇼핑,쇼핑몰,0.8,9.2
쇼핑,기타쇼핑시설,0.8,36.4
체험관광,농/산/어촌체험,0.6,95.6
체험관광,웰니스관광,0.6,4.4
