업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,4558,5123,-11.0,32432,35188,-7.8
레저스포츠,2964,2618,13.2,32432,35188,-7.8
문화관광,5007,4687,6.8,32432,35188,-7.8
쇼핑,329,6392,-94.9,32432,35188,-7.8
숙박,1266,1144,10.7,32432,35188,-7.8
역사관광,654,640,2.2,32432,35188,-7.8
음식,16715,13574,23.1,32432,35188,-7.8
자연관광,806,855,-5.7,32432,35188,-7.8
체험관광,133,155,-14.2,32432,35188,-7.8
