방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.5,2.1
60~69세,7.7,4.8
50~59세,12.8,8.6
40~49세,12.1,7.2
30~39세,11.0,7.9
20~29세,11.1,6.5
10~19세,2.5,2.1
0~9세,0.5,0.6
