유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,18.6,24.3
기타관광,기타관광,18.6,75.7
레저스포츠,기타레저스포츠,8.6,8.8
레저스포츠,수상레저스포츠,8.6,4.0
레저스포츠,육상레저스포츠,8.6,87.3
문화관광,기타문화관광지,13.1,2.7
문화관광,도시공원,13.1,45.9
문화관광,랜드마크관광,13.1,5.9
문화관광,복합관광시설,13.1,10.7
문화관광,테마공원,13.1,17.6
문화관광,레저스포츠시설,13.1,2.0
문화관광,공연시설,13.1,11.2
문화관광,전시시설,13.1,4.0
쇼핑,쇼핑몰,21.0,95.5
쇼핑,시장,21.0,2.5
쇼핑,기타쇼핑시설,21.0,1.9
숙박,기타숙박,4.0,0.0
숙박,모텔,4.0,22.0
숙박,펜션/민박,4.0,12.4
숙박,호스텔,4.0,1.9
숙박,호텔,4.0,16.4
숙박,캠핑,4.0,47.3
역사관광,역사유물,2.1,1.3
역사관광,역사유적지,2.1,51.0
역사관광,종교성지,2.1,47.7
음식,간이음식,30.4,10.3
음식,외국식,30.4,6.9
음식,음식점기타,30.4,0.5
음식,전문음식,30.4,19.6
음식,한식,30.4,36.4
음식,카페/찻집,30.4,26.4
자연관광,자연경관(하천/해양),1.9,23.7
자연관광,자연경관(산),1.9,32.2
자연관광,자연공원,1.9,44.1
체험관광,농/산/어촌체험,0.3,80.6
체험관광,웰니스관광,0.3,17.5
체험관광,공예체험,0.3,1.9
