업종중분류명,현지인 검색비율,외지인 검색비율
음식,40.0,28.9
기타관광,19.6,18.5
쇼핑,13.8,22.1
문화관광,12.2,13.2
레저스포츠,5.5,9.1
숙박,4.1,3.9
역사관광,2.4,2.1
자연관광,2.0,1.8
체험관광,0.4,0.3
