거리구분명,방문자수,방문자비율
30km 미만,1657464.0,41.01
30km 이상 70km 미만,1980174.0,48.99
70km 이상 140km 미만 ,201474.0,4.98
140km 이상 190km 미만,66448.0,1.64
190km 이상 240km 미만,28777.0,0.71
240km 이상 ,107520.0,2.66
