성/연령,지역명,비율
50대 남성,경기도 용인시 처인구,11.9
40대 남성,경기도 용인시 처인구,10.7
20대 남성,경기도 용인시 처인구,9.6
30대 남성,경기도 용인시 처인구,9.4
50대 여성,경기도 용인시 처인구,9.0
60대 남성,경기도 용인시 처인구,8.3
40대 여성,경기도 용인시 처인구,7.7
20대 여성,경기도 용인시 처인구,7.4
30대 여성,경기도 용인시 처인구,6.3
60대 여성,경기도 용인시 처인구,5.8
10대 남성,경기도 용인시 처인구,4.0
10대 여성,경기도 용인시 처인구,3.8
70대 이상 남성,경기도 용인시 처인구,2.6
70대 이상 여성,경기도 용인시 처인구,2.3
10대 미만 여성,경기도 용인시 처인구,0.7
10대 미만 남성,경기도 용인시 처인구,0.6
