성/연령,지역명,비율
50대 남성,충청남도 아산시,11.6
40대 남성,충청남도 아산시,11.5
30대 남성,충청남도 아산시,11.5
20대 남성,충청남도 아산시,9.7
50대 여성,충청남도 아산시,8.3
60대 남성,충청남도 아산시,7.6
40대 여성,충청남도 아산시,7.5
30대 여성,충청남도 아산시,7.2
20대 여성,충청남도 아산시,6.9
60대 여성,충청남도 아산시,5.4
10대 남성,충청남도 아산시,3.3
10대 여성,충청남도 아산시,3.2
70대 이상 남성,충청남도 아산시,2.6
70대 이상 여성,충청남도 아산시,2.4
10대 미만 여성,충청남도 아산시,0.6
10대 미만 남성,충청남도 아산시,0.6
