지표 코드,지표명,지표 순위값,지역명
1,방문자유입,20,남양주시
2,숙박방문자 비율,19,남양주시
3,체류시간,39,남양주시
4,목적지 검색량,8,남양주시
5,관광소비,20,남양주시
1,방문자유입,49,시흥시
2,숙박방문자 비율,49,시흥시
3,체류시간,84,시흥시
4,목적지 검색량,25,시흥시
5,관광소비,21,시흥시
1,방문자유입,39,용인시 기흥구
2,숙박방문자 비율,79,용인시 기흥구
3,체류시간,158,용인시 기흥구
4,목적지 검색량,26,용인시 기흥구
5,관광소비,17,용인시 기흥구
1,방문자유입,47,파주시
2,숙박방문자 비율,42,파주시
3,체류시간,78,파주시
4,목적지 검색량,5,파주시
5,관광소비,23,파주시
