소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.4,0.9
60대,7.8,4.1
50대,15.4,9.0
40대,17.6,9.5
30대,15.2,8.8
20대,5.6,4.1
10대,0.1,0.1
