지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,1195.0,3.12
41113,수원시 권선구,1412.0,3.06
41115,수원시 팔달구,776.0,2.76
41117,수원시 영통구,1362.0,3.22
41131,성남시 수정구,1291.0,3.14
41133,성남시 중원구,1426.0,2.95
41135,성남시 분당구,1180.0,3.24
41150,의정부시,1977.0,3.14
41171,안양시 만안구,1417.0,3.1
41173,안양시 동안구,1378.0,3.11
41190,부천시,1747.0,3.17
41210,광명시,1030.0,3.08
41220,평택시,2948.0,3.27
41250,동두천시,1876.0,3.06
41271,안산시 상록구,2263.0,3.19
41273,안산시 단원구,1453.0,2.95
41281,고양시 덕양구,1396.0,3.21
41285,고양시 일산동구,1210.0,3.22
41287,고양시 일산서구,1107.0,3.11
41290,과천시,1061.0,3.34
41310,구리시,890.0,3.0
41360,남양주시,1660.0,3.17
41370,오산시,1551.0,3.1
41390,시흥시,1693.0,3.13
41410,군포시,1544.0,3.13
41430,의왕시,877.0,3.0
41450,하남시,1097.0,3.18
41461,용인시 처인구,1773.0,3.13
41463,용인시 기흥구,1647.0,3.35
41465,용인시 수지구,1781.0,3.28
41480,파주시,1604.0,3.13
41500,이천시,2173.0,3.35
41550,안성시,1924.0,3.25
41570,김포시,1747.0,3.19
41590,화성시,1945.0,3.11
41610,광주시,1745.0,3.18
41630,양주시,1499.0,3.1
41650,포천시,1554.0,2.81
41670,여주시,2375.0,3.39
41800,연천군,1711.0,2.84
41820,가평군,1433.0,2.39
41830,양평군,1182.0,2.7
