성/연령,지역명,비율
20대 남성,경기도 파주시,11.9
50대 남성,경기도 파주시,11.3
40대 남성,경기도 파주시,10.5
30대 남성,경기도 파주시,9.5
50대 여성,경기도 파주시,8.7
40대 여성,경기도 파주시,7.7
60대 남성,경기도 파주시,7.5
30대 여성,경기도 파주시,6.9
20대 여성,경기도 파주시,6.8
60대 여성,경기도 파주시,5.6
10대 남성,경기도 파주시,3.6
10대 여성,경기도 파주시,3.2
70대 이상 남성,경기도 파주시,2.8
70대 이상 여성,경기도 파주시,2.6
10대 미만 여성,경기도 파주시,0.7
10대 미만 남성,경기도 파주시,0.6
