업종중분류명,지역명,비율
음식,경기도 파주시,44.0
쇼핑,경기도 파주시,19.2
기타관광,경기도 파주시,13.7
문화관광,경기도 파주시,10.0
레저스포츠,경기도 파주시,5.5
숙박,경기도 파주시,5.3
역사관광,경기도 파주시,1.3
자연관광,경기도 파주시,0.6
체험관광,경기도 파주시,0.3
