국가명,비율(%)
중국,27.24
필리핀,20.59
미국,15.53
기타,7.17
인도네시아,6.84
인도,5.13
캐나다,3.68
베트남,3.22
러시아,2.17
일본,2.11
태국,1.32
튀르키예,0.92
몽골,0.72
영국,0.59
싱가포르,0.53
프랑스,0.53
대만,0.39
오스트레일리아,0.33
말레이시아,0.33
독일,0.33
아랍에미리트,0.13
홍콩,0.13
카자흐스탄,0.07
사우디아라비아,0.0
