거리구분명,방문자수,방문자비율
30km 미만,1345410.0,42.52
30km 이상 70km 미만,1491186.0,47.13
70km 이상 140km 미만 ,156530.0,4.95
140km 이상 190km 미만,53760.0,1.7
190km 이상 240km 미만,23856.0,0.75
240km 이상 ,93460.0,2.95
