방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.4,2.1
60~69세,8.1,4.7
50~59세,13.7,8.3
40~49세,12.3,7.0
30~39세,11.1,7.0
20~29세,11.5,6.7
10~19세,2.2,1.7
0~9세,0.6,0.6
