업종중분류명,현지인 검색비율,외지인 검색비율
음식,41.6,30.2
기타관광,21.4,18.3
쇼핑,13.7,22.8
문화관광,9.9,10.3
레저스포츠,5.6,10.6
숙박,4.4,4.5
역사관광,1.9,1.9
자연관광,1.0,1.1
체험관광,0.4,0.2
