언어명,관광지명,구분
중간체,板门店판문점,역사관광지
중간체,都罗瞭望台(도라전망대),건축/조형물
중간체,Heyri艺术村(헤이리 예술마을),체험관광지
중간체,乌头山统一眺望台(오두산 통일전망대),건축/조형물
중간체,花石亭화석정,역사관광지
중간체,统一公园(坡州)통일공원(파주),역사관광지
