업종중분류명,업체명,방문자수,순위
음식,포레스트아웃팅스,26.0,1
음식,일산칼국수/본점,20.0,2
음식,옐로커피,14.0,3
음식,메밀꽃이피었습니다/일산본점,12.0,4
음식,설문커피,12.0,5
음식,가나안덕/일산본점,12.0,6
음식,더팔당/일산점,10.0,7
음식,피스피스/2호점,10.0,8
음식,진밭국수,10.0,9
음식,샛터농원,9.0,10
쇼핑,라페스타,130.0,1
쇼핑,코스트코홀세일/일산점,92.0,2
쇼핑,롯데백화점/일산점,36.0,3
쇼핑,벨라시타,34.0,4
쇼핑,뉴코아아울렛/일산점,30.0,5
쇼핑,이마트/풍산점,26.0,6
쇼핑,롯데아울렛/고양터미널점,16.0,7
쇼핑,이마트/일산점,11.0,8
쇼핑,홈플러스/일산점,10.0,9
쇼핑,홈플러스/고양터미널점,10.0,10
문화관광,일산호수공원,84.0,1
문화관광,고양장항야구장,5.0,2
문화관광,중산체육공원,5.0,3
문화관광,CGV/일산,5.0,4
문화관광,고양꽃전시관,1.0,5
문화관광,알미공원,1.0,6
문화관광,콩순이키즈카페/일산장항점,1.0,7
문화관광,고양아람누리,1.0,8
문화관광,지영구장,1.0,9
문화관광,메가박스/백석,1.0,10
