유형 중분류명,유형 소분류명,중분류 검색건 수(비율),소분류 검색건 수(비율)
기타관광,교통시설,13.8,32.0
기타관광,기타관광,13.8,68.0
레저스포츠,기타레저스포츠,8.9,6.4
레저스포츠,수상레저스포츠,8.9,3.6
레저스포츠,육상레저스포츠,8.9,90.0
문화관광,기타문화관광지,12.1,5.2
문화관광,도시/지역문화관광,12.1,0.0
문화관광,도시공원,12.1,41.5
문화관광,랜드마크관광,12.1,4.8
문화관광,복합관광시설,12.1,8.1
문화관광,테마공원,12.1,25.1
문화관광,레저스포츠시설,12.1,1.7
문화관광,공연시설,12.1,8.0
문화관광,전시시설,12.1,5.6
쇼핑,쇼핑몰,16.3,94.5
쇼핑,시장,16.3,4.1
쇼핑,기타쇼핑시설,16.3,1.4
숙박,기타숙박,4.4,0.0
숙박,모텔,4.4,29.3
숙박,펜션/민박,4.4,10.5
숙박,호스텔,4.4,1.8
숙박,호텔,4.4,24.6
숙박,캠핑,4.4,33.9
역사관광,역사유물,1.5,0.7
역사관광,역사유적지,1.5,38.1
역사관광,종교성지,1.5,61.2
음식,간이음식,41.3,9.6
음식,외국식,41.3,6.5
음식,음식점기타,41.3,0.2
음식,전문음식,41.3,16.9
음식,한식,41.3,34.9
음식,카페/찻집,41.3,31.8
자연관광,자연경관(하천/해양),1.3,25.8
자연관광,자연경관(산),1.3,38.7
자연관광,자연공원,1.3,35.5
체험관광,농/산/어촌체험,0.3,76.5
체험관광,웰니스관광,0.3,20.6
체험관광,공예체험,0.3,2.9
