거리구분명,방문자수,방문자비율
30km 미만,1676654.0,43.98
30km 이상 70km 미만,1735524.0,45.52
70km 이상 140km 미만 ,178518.0,4.68
140km 이상 190km 미만,60596.0,1.59
190km 이상 240km 미만,31098.0,0.82
240km 이상 ,129927.0,3.41
