업종중분류명,현지인 검색비율,외지인 검색비율
음식,50.9,38.9
기타관광,14.2,13.7
쇼핑,11.1,17.7
문화관광,10.9,12.4
레저스포츠,5.4,9.8
숙박,4.0,4.6
역사관광,1.6,1.5
자연관광,1.4,1.2
체험관광,0.4,0.3
