국가명,비율(%)
기타,30.77
미국,14.84
중국,12.64
태국,6.71
인도네시아,5.79
싱가포르,3.78
필리핀,3.07
인도,2.83
베트남,2.75
일본,2.58
프랑스,2.3
오스트레일리아,2.3
캐나다,2.23
영국,2.02
독일,1.89
러시아,1.12
튀르키예,0.81
말레이시아,0.59
멕시코,0.27
카자흐스탄,0.27
몽골,0.21
대만,0.1
아랍에미리트,0.07
홍콩,0.07
사우디아라비아,0.01
