방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.9,2.8
60~69세,9.0,5.5
50~59세,13.4,8.2
40~49세,11.7,6.6
30~39세,10.6,6.9
20~29세,11.0,6.2
10~19세,2.2,1.7
0~9세,0.6,0.6
