행정동명,비율(%)
,0.0
광탄면,6.2
교하동,20.8
금촌1동,3.2
금촌2동,3.0
금촌3동,0.9
문산읍,6.4
법원읍,3.8
운정1동,3.5
운정2동,3.1
운정3동,6.8
운정4동,2.2
운정5동,1.8
운정6동,0.3
월롱면,2.4
장단면,0.1
적성면,1.6
조리읍,5.1
탄현면,26.4
파주읍,1.9
파평면,0.6
