기준년월,기초지자체,중분류,소비액(천원),전년도 지출액
202410,파주시,관광총소비,1.29573574E8,1.35303826E8
202411,파주시,관광총소비,1.1520588E8,1.08683826E8
202412,파주시,관광총소비,1.05244709E8,1.06565897E8
202501,파주시,관광총소비,9.9766692E7,8.6863711E7
202502,파주시,관광총소비,8.4356477E7,9.6149066E7
202503,파주시,관광총소비,1.17202414E8,1.20135778E8
202504,파주시,관광총소비,1.03401893E8,1.1475795E8
202505,파주시,관광총소비,1.22968994E8,1.2043343E8
202506,파주시,관광총소비,1.07420259E8,1.1394517E8
202507,파주시,관광총소비,1.03582252E8,1.01105179E8
202508,파주시,관광총소비,1.09071267E8,1.09135998E8
202509,파주시,관광총소비,1.08225017E8,1.2237163E8
202410,파주시,기타관광쇼핑,1.6151383E7,1.6559302E7
202410,파주시,렌터카,3552.0,12246.0
202410,파주시,기타레저,1978941.0,2163544.0
202410,파주시,문화서비스,377927.0,516158.0
202410,파주시,기타숙박,599803.0,621487.0
202410,파주시,골프장,1.1354949E7,1.1351998E7
202410,파주시,레저용품쇼핑,2040131.0,2289550.0
202410,파주시,캠핑장/펜션,42901.0,40041.0
202411,파주시,캠핑장/펜션,49246.0,73155.0
202411,파주시,일반외식업,2.5830819E7,2.4709013E7
202411,파주시,기타숙박,612074.0,627904.0
202411,파주시,골프장,8834850.0,8191488.0
202411,파주시,레저용품쇼핑,1466043.0,1910960.0
202411,파주시,의료관광,202018.0,197897.0
202411,파주시,기타레저,1483059.0,1298071.0
202412,파주시,관광유원시설,381225.0,225058.0
202412,파주시,대형쇼핑몰,3.6885397E7,3.5386418E7
202412,파주시,일반외식업,2.6326541E7,2.7176857E7
202412,파주시,레저용품쇼핑,1659308.0,1862640.0
202412,파주시,골프장,2705287.0,2730924.0
202412,파주시,의료관광,257382.0,261785.0
202501,파주시,기타숙박,506323.0,559219.0
202501,파주시,레저용품쇼핑,1151534.0,1123545.0
202501,파주시,캠핑장/펜션,25351.0,57060.0
202501,파주시,렌터카,5986.0,13786.0
202501,파주시,기타관광쇼핑,1.462931E7,1.4188124E7
202502,파주시,뷰티,1198080.0,1296130.0
202502,파주시,문화서비스,336055.0,645278.0
202502,파주시,호텔,41448.0,69555.0
202502,파주시,제과음료업,4636710.0,5974116.0
202502,파주시,캠핑장/펜션,19193.0,35639.0
202502,파주시,의료관광,163795.0,215141.0
202502,파주시,여행업,81726.0,112667.0
202502,파주시,일반외식업,2.184803E7,2.4532147E7
202502,파주시,육상운송,1.1843132E7,1.108477E7
202502,파주시,관광유원시설,252436.0,229259.0
202503,파주시,뷰티,1402560.0,1361603.0
202503,파주시,호텔,58883.0,55219.0
202503,파주시,기타숙박,578179.0,591839.0
202503,파주시,여행업,78146.0,51457.0
202503,파주시,의료관광,245085.0,273617.0
202503,파주시,기타레저,1323908.0,1482192.0
202503,파주시,육상운송,1.2492597E7,1.2430481E7
202503,파주시,캠핑장/펜션,32246.0,49577.0
202503,파주시,기타관광쇼핑,1.4812928E7,1.563428E7
202504,파주시,기타숙박,539668.0,570095.0
202504,파주시,레저용품쇼핑,1420935.0,1853943.0
202504,파주시,골프장,8911379.0,1.0843331E7
202504,파주시,제과음료업,5313197.0,6015093.0
202504,파주시,문화서비스,348674.0,579256.0
202504,파주시,기타레저,1437719.0,1608890.0
202504,파주시,캠핑장/펜션,23788.0,61476.0
202505,파주시,레저용품쇼핑,1856594.0,2885862.0
202505,파주시,문화서비스,557200.0,666619.0
202505,파주시,호텔,48872.0,61288.0
202505,파주시,기타숙박,616771.0,619642.0
202505,파주시,골프장,1.1245826E7,1.1966227E7
202505,파주시,캠핑장/펜션,31862.0,48450.0
202506,파주시,기타숙박,547353.0,640288.0
202506,파주시,뷰티,1146572.0,1154693.0
202506,파주시,제과음료업,6007518.0,6320366.0
202506,파주시,문화서비스,460119.0,651312.0
202506,파주시,렌터카,15548.0,8312.0
202506,파주시,골프장,1.0308423E7,1.1833727E7
202506,파주시,기타레저,1515331.0,1686315.0
202506,파주시,육상운송,1.2270644E7,1.2199835E7
202506,파주시,여행업,57652.0,73638.0
202506,파주시,일반외식업,2.7497114E7,2.7893092E7
202410,파주시,육상운송,1.3383369E7,1.4415096E7
202410,파주시,제과음료업,6270068.0,6955728.0
202410,파주시,의료관광,200258.0,211092.0
202411,파주시,육상운송,1.2804737E7,1.370808E7
202411,파주시,여행업,134230.0,106109.0
202411,파주시,관광유원시설,428673.0,165534.0
202411,파주시,대형쇼핑몰,4.1428815E7,3.5599849E7
202411,파주시,뷰티,1245509.0,1106159.0
202411,파주시,제과음료업,5319147.0,5126988.0
202411,파주시,문화서비스,381740.0,447687.0
202411,파주시,호텔,67022.0,68153.0
202411,파주시,렌터카,8910.0,8331.0
202412,파주시,육상운송,1.2742842E7,1.3017307E7
202412,파주시,여행업,28947.0,107471.0
202412,파주시,기타레저,1178187.0,1418260.0
202412,파주시,기타관광쇼핑,1.4629378E7,1.5405778E7
202412,파주시,문화서비스,639625.0,900481.0
202412,파주시,기타숙박,606639.0,654666.0
202412,파주시,호텔,69247.0,92649.0
202412,파주시,렌터카,12830.0,11331.0
202501,파주시,문화서비스,560248.0,524635.0
202501,파주시,호텔,45508.0,74718.0
202501,파주시,골프장,1421788.0,1324306.0
202501,파주시,관광유원시설,273536.0,160267.0
202501,파주시,대형쇼핑몰,3.6071567E7,2.4607407E7
202502,파주시,기타숙박,540568.0,505179.0
202502,파주시,기타관광쇼핑,1.2436319E7,1.5550551E7
202503,파주시,렌터카,69361.0,34162.0
202503,파주시,관광유원시설,348813.0,322987.0
202503,파주시,대형쇼핑몰,4.1652008E7,4.1592639E7
202504,파주시,뷰티,1234016.0,1097350.0
202504,파주시,호텔,56501.0,72608.0
202504,파주시,의료관광,171010.0,206052.0
202504,파주시,육상운송,1.2410632E7,1.2787452E7
202504,파주시,여행업,74340.0,60252.0
202505,파주시,제과음료업,6929237.0,6648671.0
202505,파주시,여행업,89119.0,114442.0
202505,파주시,육상운송,1.3132648E7,1.3056312E7
202505,파주시,일반외식업,3.1946924E7,3.0269315E7
202506,파주시,기타관광쇼핑,1.5626309E7,1.6154738E7
202506,파주시,레저용품쇼핑,1172664.0,1831325.0
202506,파주시,캠핑장/펜션,23342.0,56638.0
202506,파주시,관광유원시설,431555.0,456580.0
202506,파주시,대형쇼핑몰,2.9984796E7,3.2695002E7
202410,파주시,일반외식업,2.8686238E7,2.9945259E7
202410,파주시,관광유원시설,697342.0,583981.0
202410,파주시,여행업,67840.0,99802.0
202411,파주시,기타관광쇼핑,1.4908988E7,1.5338447E7
202412,파주시,캠핑장/펜션,52151.0,81850.0
202501,파주시,뷰티,1360307.0,1234263.0
202501,파주시,여행업,57355.0,74952.0
202501,파주시,기타레저,1239952.0,1195358.0
202501,파주시,일반외식업,2.4969172E7,2.4402811E7
202502,파주시,레저용품쇼핑,1092786.0,1405028.0
202502,파주시,골프장,2239683.0,2918393.0
202502,파주시,기타레저,1020506.0,1286374.0
202503,파주시,문화서비스,372615.0,734877.0
202503,파주시,골프장,7674376.0,8589930.0
202504,파주시,렌터카,6915.0,8152.0
202504,파주시,관광유원시설,309522.0,476719.0
202504,파주시,대형쇼핑몰,3.0650026E7,3.5757396E7
202505,파주시,의료관광,309329.0,233609.0
202505,파주시,관광유원시설,624320.0,433859.0
202505,파주시,대형쇼핑몰,3.5994292E7,3.3817133E7
202505,파주시,기타관광쇼핑,1.6289511E7,1.6552526E7
202410,파주시,대형쇼핑몰,4.6408903E7,4.8206327E7
202410,파주시,뷰티,1235309.0,1252761.0
