대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,46.6,29.9
쇼핑업,대형쇼핑몰,46.6,67.2
쇼핑업,레저용품쇼핑,46.6,2.9
숙박업,기타숙박,0.6,85.9
숙박업,캠핑장/펜션,0.6,5.1
숙박업,호텔,0.6,9.0
식음료업,일반외식업,30.3,82.3
식음료업,제과음료업,30.3,17.7
여가서비스업,골프장,9.1,76.8
여가서비스업,관광유원시설,9.1,4.0
여가서비스업,기타레저,9.1,14.6
여가서비스업,문화서비스,9.1,4.6
여행업,여행업,0.1,100.0
운송업,렌터카,11.9,0.1
운송업,육상운송,11.9,99.9
의료웰니스업,뷰티,1.4,84.0
의료웰니스업,의료관광,1.4,16.0
