기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시 장안구,관광총소비,6.10187161E8,6.18519993E8
수원시 권선구,관광총소비,1.028932036E9,1.036026161E9
수원시 팔달구,관광총소비,1.300734782E9,1.323589729E9
수원시 영통구,관광총소비,9.47404033E8,1.026842104E9
성남시 수정구,관광총소비,6.21186649E8,6.37490134E8
성남시 중원구,관광총소비,4.22347063E8,4.48999691E8
성남시 분당구,관광총소비,2.632072161E9,2.631677498E9
의정부시,관광총소비,9.44421042E8,9.93704064E8
안양시 만안구,관광총소비,4.26651391E8,4.23367135E8
안양시 동안구,관광총소비,1.17909133E9,1.215669245E9
부천시 원미구,관광총소비,1.231052332E9,1.223722709E9
부천시 소사구,관광총소비,3.83778255E8,5.36671985E8
부천시 오정구,관광총소비,2.77845627E8,3.86321038E8
광명시,관광총소비,5.95124853E8,6.08392364E8
평택시,관광총소비,1.224640622E9,1.276410702E9
동두천시,관광총소비,1.18918379E8,1.29598549E8
안산시 상록구,관광총소비,5.19877524E8,5.340802E8
안산시 단원구,관광총소비,1.090775034E9,1.13003156E9
고양시 덕양구,관광총소비,1.640840207E9,1.648693022E9
고양시 일산동구,관광총소비,1.178972041E9,1.230868114E9
고양시 일산서구,관광총소비,8.22430323E8,8.3482567E8
과천시,관광총소비,2.01214923E8,1.83579514E8
구리시,관광총소비,6.54660369E8,6.57624515E8
남양주시,관광총소비,1.460434986E9,1.483606946E9
오산시,관광총소비,5.20454675E8,5.3676977E8
시흥시,관광총소비,1.257748755E9,1.330808476E9
군포시,관광총소비,3.76687619E8,3.83692772E8
의왕시,관광총소비,5.80646962E8,6.00971811E8
하남시,관광총소비,1.479727327E9,1.514869887E9
용인시 처인구,관광총소비,1.167136482E9,1.177553638E9
용인시 기흥구,관광총소비,1.49194292E9,1.527492787E9
용인시 수지구,관광총소비,9.44782738E8,9.79105083E8
파주시,관광총소비,1.306019429E9,1.335451461E9
이천시,관광총소비,9.2695279E8,9.47855792E8
안성시,관광총소비,1.058880125E9,1.074177998E9
김포시,관광총소비,1.405039214E9,1.412772703E9
화성시,관광총소비,2.015580687E9,2.084548636E9
광주시,관광총소비,8.27695822E8,8.30167596E8
양주시,관광총소비,6.35622558E8,6.45266389E8
포천시,관광총소비,6.92485081E8,7.19648042E8
여주시,관광총소비,1.077172276E9,1.11327791E9
연천군,관광총소비,9.312234E7,9.3909224E7
가평군,관광총소비,4.48148399E8,4.69395898E8
양평군,관광총소비,3.92109322E8,3.88289282E8
