소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.2,0.8
60대,6.4,3.9
50대,13.8,9.1
40대,16.7,10.0
30대,15.5,9.7
20대,6.6,5.6
10대,0.1,0.1
