기준연월,목적지 유형,목적지 검색량
202106,전체,580512
202106,숙박,23587
202106,음식,223613
202106,기타관광,91903
202106,쇼핑,93825
202106,자연관광,8289
202106,문화관광,68449
202106,역사관광,9384
202106,체험관광,1432
202106,레저스포츠,60030
