방문자 연령,방문자 비율(남성),방문자 비율(여성)
70세 이상,2.6,2.3
60~69세,8.8,5.0
50~59세,14.0,8.5
40~49세,12.3,6.6
30~39세,11.0,6.9
20~29세,11.1,6.3
10~19세,2.1,1.5
0~9세,0.5,0.6
