업종중분류명,현지인 검색비율,외지인 검색비율
음식,48.4,36.4
기타관광,16.2,15.8
쇼핑,11.2,17.2
문화관광,11.2,11.9
레저스포츠,5.7,11.3
숙박,3.7,4.1
역사관광,1.7,1.6
자연관광,1.5,1.4
체험관광,0.3,0.2
