거리구분명,방문자수,방문자비율
30km 미만,1498662.0,42.83
30km 이상 70km 미만,1632284.0,46.65
70km 이상 140km 미만 ,172848.0,4.94
140km 이상 190km 미만,55034.0,1.57
190km 이상 240km 미만,27608.0,0.79
240km 이상 ,112752.0,3.22
