순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202112,63551,63551.0
2,경기도,파주시,퍼스트가든,202112,27719,27719.0
3,경기도,파주시,헤이리예술마을,202112,19763,19763.0
4,경기도,파주시,통일전망대,202112,8054,8054.0
5,경기도,파주시,서서울컨트리클럽,202112,5769,5769.0
6,경기도,파주시,공릉관광지(하니랜드),202112,4664,4664.0
7,경기도,파주시,벽초지수목원,202112,4030,4030.0
8,경기도,파주시,서원밸리골프클럽,202112,3950,3950.0
9,경기도,파주시,제3땅굴,202112,2563,2563.0
10,경기도,파주시,경기미래교육 파주캠퍼스,202112,2540,2540.0
11,경기도,파주시,파주삼릉,202112,1909,1909.0
12,경기도,파주시,율곡선생유적지,202112,1784,1784.0
13,경기도,파주시,황희선생유적지,202112,1740,1740.0
14,경기도,파주시,베스트밸리,202112,1394,1394.0
15,경기도,파주시,우농타조농장,202112,1280,1280.0
16,경기도,파주시,파주장릉,202112,1080,1080.0
17,경기도,파주시,소울원,202112,687,687.0
18,경기도,파주시,산머루농원,202112,503,503.0
19,경기도,파주시,황포돛배,202112,332,332.0
20,경기도,파주시,쇠꼴마을,202112,200,200.0
21,경기도,파주시,두루뫼박물관,202112,67,67.0
22,경기도,파주시,영집궁시박물관,202112,64,64.0
