year,month,시군구명,시도명,관광지명,구분
2025,1,파주시,경기도,파주가야랜드,휴양관광지
2025,1,파주시,경기도,헤이리 예술마을,체험관광지
2025,1,파주시,경기도,파주 임진각(평화누리공원),역사관광지
2025,1,파주시,경기도,금촌장 (1_ 6일),쇼핑
2025,1,파주시,경기도,키누카누 파주점,음식점
2025,1,파주시,경기도,콩치노콩크리트,문화시설
2025,1,파주시,경기도,캠프 그리브스,역사관광지
2025,1,파주시,경기도,판문점,역사관광지
2025,1,파주시,경기도,퍼스트가든,자연관광지
2025,1,파주시,경기도,힐링그라운드,음식점
2025,1,파주시,경기도,오두산 통일전망대,건축/조형물
2025,1,파주시,경기도,조인폴리아,쇼핑
2025,1,파주시,경기도,황희정승묘,역사관광지
2025,1,파주시,경기도,마장호수,자연관광지
2025,1,파주시,경기도,도라전망대,건축/조형물
2025,1,파주시,경기도,미메시스 아트 뮤지엄,문화시설
2025,1,파주시,경기도,제3땅굴,역사관광지
2025,1,파주시,경기도,언칼국수,음식점
2025,1,파주시,경기도,파주 임진각평화곤돌라(파주 DMZ 곤돌라),역사관광지
2025,1,파주시,경기도,감악산 출렁다리,건축/조형물
2025,1,파주시,경기도,마장호수 출렁다리,건축/조형물
2025,1,파주시,경기도,할머니묵집,음식점
2025,1,파주시,경기도,헤이리시네마,문화시설
2025,1,파주시,경기도,자유로자동차극장,문화시설
2025,1,파주시,경기도,파주 윤관장군묘,역사관광지
2025,1,파주시,경기도,지혜의 숲,문화시설
2025,1,파주시,경기도,탕수육,음식점
2025,1,파주시,경기도,황인용 뮤직 스페이스 <카메라타>,문화시설
2025,1,파주시,경기도,네이처스파,휴양관광지
2025,1,파주시,경기도,파평용연,역사관광지
2025,1,파주시,경기도,국립민속박물관 파주,문화시설
2025,1,파주시,경기도,프로방스 마을,체험관광지
2025,1,파주시,경기도,뮌스터담,음식점
2025,1,파주시,경기도,자운서원,역사관광지
2025,1,파주시,경기도,광탄낚시레저타운,수상 레포츠
2025,1,파주시,경기도,서울액션스쿨 (마샬아트센터),육상 레포츠
2025,1,파주시,경기도,반구정 나루터집,음식점
2025,1,파주시,경기도,롯데프리미엄아울렛 파주점,쇼핑
2025,1,파주시,경기도,무즐라,음식점
2025,1,파주시,경기도,헤이리무장애노을숲길,휴양관광지
2025,1,파주시,경기도,보광사(파주),역사관광지
2025,1,파주시,경기도,이태리식당,음식점
2025,1,파주시,경기도,수라한식뷔페,음식점
