year,month,언어명,관광지명,구분
2025,7,중간체,坡州临津阁(和平世界公园) 파주 임진각(평화누리공원),역사관광지
2025,7,중간체,板门店판문점,역사관광지
2025,7,중간체,都罗山站(도라산역),역사관광지
2025,7,중간체,Heyri艺术村(헤이리 예술마을),체험관광지
2025,7,중간체,都罗瞭望台(도라전망대),건축/조형물
2025,7,중간체,坡州出版城市(파주출판도시),산업관광지
2025,7,중간체,碧草池树木园(벽초지수목원),자연관광지
2025,7,중간체,第3地窟제3땅굴,역사관광지
2025,7,중간체,普罗旺斯村(프로방스 마을),체험관광지
2025,7,중간체,乌头山统一眺望台(오두산 통일전망대),건축/조형물
2025,7,중간체,坡州三陵[世界教科文组织世界文化遗产]파주 삼릉[유네스코 세계문화유산],역사관광지
2025,7,중간체,首尔特技学校(Marshal艺术中心)서울액션스쿨(마샬아트센터),육상 레포츠
2025,7,중간체,新世界西蒙坡州名牌折扣购物中心(신세계사이먼 파주 프리미엄 아울렛),쇼핑
2025,7,중간체,坡州长陵（仁祖，仁烈王后）[联合国教科文组织世界文化遗产]파주 장릉(인조_인열왕후) [유네스코 세계문화유산],역사관광지
2025,7,중간체,Camp GREAVES （캠프 그리브스）,역사관광지
2025,7,중간체,京畿道坡州英语村(경기영어마을 파주캠프),체험관광지
2025,7,중간체,坡州李珥遗址(파주이이유적),역사관광지
2025,7,중간체,花石亭화석정,역사관광지
2025,7,중간체,统一公园(坡州)통일공원(파주),역사관광지
