year,month,순위,관광지ID,관광지명,분류
2024,11,72,ea9af19872ea6f89502ae63c8b83367a,명필름아트센터,기타문화관광지
2024,11,74,900e6eaf936bb8e0f965e500f2dde3f8,파주시민회관대공연장,공연시설
2024,11,74,3de8dee377bb7824441aa09ff740f5ea,문산체육공원,도시공원
2024,11,76,046c8d92a8e2298c2f5755a455d64149,평화랜드,테마공원
2024,11,76,ed4c4af22d56afb22f111153fa694d1a,운정체육공원운정배드민턴전용구장,기타레저스포츠
2024,11,78,3bffd5b411bdf8e13136ce4afd14ca1c,월롱시민공원,도시공원
2024,11,79,ddf7be44b6ea249f9ab5a7e8bca6fe66,썬샤인스타디오,기타문화관광지
2024,11,80,60914233f0d72e6200d9cae529a1c2fd,심학산둘레길,기타레저스포츠
2024,11,81,7f877ec51102a78612e6a1369886b676,자인농원,농/산/어촌체험
2024,11,82,0580af409e7770eb45925486fecd52e1,탄현체육공원,도시공원
2024,11,83,d127e7dacb0a05e497536cb500b82930,파주가든,도시공원
2024,11,84,dda49fb4f202c200839b1a117439158d,법원체육공원,도시공원
2024,11,85,65674b4817d7810fa8953018411735d7,광탄체육공원,도시공원
2024,11,86,2b098d70917d04227685a908e784293b,장릉,역사유적지
2024,11,87,96e37873b03de8a9d352f65814e8241a,월롱체육공원,도시공원
2024,11,88,9f1784f380ac04f22c13d903f66709bc,해브펀캠핑어라운드,캠핑
2024,11,88,c52132f370cd0da6402fb4c73065dc4a,반디호텔,모텔
2024,11,90,33ef3f78240dadd22b84766d3f98ab43,골든힐호텔,호텔
2024,11,91,57c03075eb03825bb6fb6c94d72273a4,운정중앙공원,도시공원
2024,11,92,e3eb11d5fc8791b1c6a6efe4d62ae5ba,발랑저수지,자연경관(하천/해양)
2024,11,93,e2ef2bf062004358fc41066d7e6b9918,마리호텔,호텔
2024,11,94,ea8f2d65ba28d4e3ee2ca92213ab7681,화석정캠핑장,캠핑
2024,11,95,6fa2aa22c0de9d24cf98fe0096ea5feb,호텔시에나,호텔
2024,11,96,c6abb28f2eb2aff78336127606ad3bea,이채쇼핑몰,쇼핑몰
2024,11,96,76ccdc041552cc998cd5d20ec5ae4335,따봉캠핑장,캠핑
2024,11,96,db7f14a7cc7dce098970ccac815c9ccc,살림채,펜션/민박
2024,11,99,d80e1b8c379a799fdd353e52749a83a6,미즈호텔,모텔
2024,11,100,430aef7139d6fd0fba2d97bd95de0ea1,운정행복센터대공연장,공연시설
