year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,1,1,경기도,파주시,임진각관광지,69984,69984.0
2024,1,2,경기도,파주시,통일전망대,24041,24041.0
2024,1,3,경기도,파주시,헤이리예술마을,23750,23750.0
2024,1,4,경기도,파주시,파주놀이구름,18769,18769.0
2024,1,5,경기도,파주시,퍼스트가든,10236,10236.0
2024,1,6,경기도,파주시,경기미래교육 파주캠퍼스,6242,6242.0
2024,1,7,경기도,파주시,제3땅굴,6002,6002.0
2024,1,8,경기도,파주시,쇠꼴마을,3742,3742.0
2024,1,9,경기도,파주시,공릉관광지(하니랜드),2367,2367.0
2024,1,10,경기도,파주시,서원밸리골프클럽,1707,1707.0
2024,1,11,경기도,파주시,파주삼릉,1536,1536.0
2024,1,12,경기도,파주시,베스트밸리,1352,1352.0
2024,1,13,경기도,파주시,황희선생유적지,1262,1262.0
2024,1,14,경기도,파주시,우농타조농장,1200,1200.0
2024,1,15,경기도,파주시,벽초지수목원,901,901.0
2024,1,16,경기도,파주시,산머루농원,801,801.0
2024,1,17,경기도,파주시,파주장릉,775,775.0
2024,1,18,경기도,파주시,동화힐링캠핑장,720,720.0
2024,1,19,경기도,파주시,율곡선생유적지,515,515.0
2024,1,20,경기도,파주시,아트린뮤지움,400,400.0
2024,1,21,경기도,파주시,콩세유미술관,384,384.0
2024,1,22,경기도,파주시,파주임실치즈스쿨,110,110.0
2024,1,23,경기도,파주시,두루뫼박물관,52,52.0
2024,1,24,경기도,파주시,영집궁시박물관,21,21.0
