year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객총계
2024,10,1,경기도,파주시,임진각관광지,164975,164975.0
2024,10,2,경기도,파주시,헤이리예술마을,164000,164000.0
2024,10,3,경기도,파주시,통일전망대,52283,52283.0
2024,10,4,경기도,파주시,벽초지수목원,48313,48313.0
2024,10,5,경기도,파주시,퍼스트가든,42800,42800.0
2024,10,6,경기도,파주시,제3땅굴,41421,41421.0
2024,10,7,경기도,파주시,경기미래교육 파주캠퍼스,21941,21941.0
2024,10,8,경기도,파주시,공릉관광지(하니랜드),13697,13697.0
2024,10,9,경기도,파주시,서서울컨트리클럽,12857,12857.0
2024,10,10,경기도,파주시,임진각평화누리캠핑장,12090,12090.0
2024,10,11,경기도,파주시,파주놀이구름,11041,11041.0
2024,10,12,경기도,파주시,파주삼릉,10284,10284.0
2024,10,13,경기도,파주시,서원밸리골프클럽,8008,8008.0
2024,10,14,경기도,파주시,베스트밸리,7056,7056.0
2024,10,15,경기도,파주시,율곡선생유적지,5943,5943.0
2024,10,16,경기도,파주시,황희선생유적지,5795,5795.0
2024,10,17,경기도,파주시,황포돛배,4209,4209.0
2024,10,18,경기도,파주시,동화힐링캠핑장,3168,3168.0
2024,10,19,경기도,파주시,파주장릉,3111,3111.0
2024,10,20,경기도,파주시,우농타조농장,3032,3032.0
2024,10,21,경기도,파주시,산머루농원,1171,1171.0
2024,10,22,경기도,파주시,콩세유미술관,717,717.0
2024,10,23,경기도,파주시,아트린뮤지움,593,593.0
2024,10,24,경기도,파주시,영집궁시박물관,250,250.0
2024,10,25,경기도,파주시,두루뫼박물관,125,125.0
