year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,3,1,경기도,파주시,임진각관광지,129547,129547.0
2024,3,2,경기도,파주시,통일전망대,43149,43149.0
2024,3,3,경기도,파주시,헤이리예술마을,26420,26420.0
2024,3,4,경기도,파주시,파주놀이구름,15233,15233.0
2024,3,5,경기도,파주시,퍼스트가든,12722,12722.0
2024,3,6,경기도,파주시,서서울컨트리클럽,9761,9761.0
2024,3,7,경기도,파주시,제3땅굴,9623,9623.0
2024,3,8,경기도,파주시,공릉관광지(하니랜드),8575,8575.0
2024,3,9,경기도,파주시,서원밸리골프클럽,8416,8416.0
2024,3,10,경기도,파주시,경기미래교육 파주캠퍼스,6963,6963.0
2024,3,11,경기도,파주시,벽초지수목원,5562,5562.0
2024,3,12,경기도,파주시,베스트밸리,4978,4978.0
2024,3,13,경기도,파주시,황희선생유적지,3924,3924.0
2024,3,14,경기도,파주시,파주삼릉,3045,3045.0
2024,3,15,경기도,파주시,우농타조농장,2665,2665.0
2024,3,16,경기도,파주시,파주장릉,2054,2054.0
2024,3,17,경기도,파주시,율곡선생유적지,1452,1452.0
2024,3,18,경기도,파주시,동화힐링캠핑장,1208,1208.0
2024,3,19,경기도,파주시,황포돛배,1119,1119.0
2024,3,20,경기도,파주시,산머루농원,904,904.0
2024,3,21,경기도,파주시,아트린뮤지움,604,604.0
2024,3,22,경기도,파주시,콩세유미술관,386,386.0
2024,3,23,경기도,파주시,쇠꼴마을,371,371.0
2024,3,24,경기도,파주시,파주임실치즈스쿨,150,150.0
2024,3,25,경기도,파주시,영집궁시박물관,123,123.0
2024,3,26,경기도,파주시,두루뫼박물관,73,73.0
