year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,7,1,경기도,파주시,임진각관광지,126354,126354.0
2024,7,2,경기도,파주시,헤이리예술마을,59930,59930.0
2024,7,3,경기도,파주시,통일전망대,38722,38722.0
2024,7,4,경기도,파주시,파주놀이구름,17752,17752.0
2024,7,5,경기도,파주시,서서울컨트리클럽,10736,10736.0
2024,7,6,경기도,파주시,파주삼릉,9705,9705.0
2024,7,7,경기도,파주시,퍼스트가든,8625,8625.0
2024,7,8,경기도,파주시,경기미래교육 파주캠퍼스,8434,8434.0
2024,7,9,경기도,파주시,서원밸리골프클럽,8267,8267.0
2024,7,10,경기도,파주시,제3땅굴,7011,7011.0
2024,7,11,경기도,파주시,임진각평화누리캠핑장,5959,5959.0
2024,7,12,경기도,파주시,벽초지수목원,4984,4984.0
2024,7,13,경기도,파주시,베스트밸리,4764,4764.0
2024,7,14,경기도,파주시,공릉관광지(하니랜드),3077,3077.0
2024,7,15,경기도,파주시,황희선생유적지,2650,2650.0
2024,7,16,경기도,파주시,쇠꼴마을,2147,2147.0
2024,7,17,경기도,파주시,산머루농원,1500,1500.0
2024,7,18,경기도,파주시,황포돛배,1356,1356.0
2024,7,19,경기도,파주시,동화힐링캠핑장,1271,1271.0
2024,7,20,경기도,파주시,파주장릉,1038,1038.0
2024,7,21,경기도,파주시,율곡선생유적지,879,879.0
2024,7,22,경기도,파주시,우농타조농장,860,860.0
2024,7,23,경기도,파주시,콩세유미술관,702,702.0
2024,7,24,경기도,파주시,아트린뮤지움,392,392.0
2024,7,25,경기도,파주시,영집궁시박물관,298,298.0
2024,7,26,경기도,파주시,파주임실치즈스쿨,211,211.0
2024,7,27,경기도,파주시,두루뫼박물관,42,42.0
