year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객총계
2024,11,1,경기도,파주시,임진각관광지,130244,130244.0
2024,11,2,경기도,파주시,헤이리예술마을,60100,60100.0
2024,11,3,경기도,파주시,제3땅굴,38728,38728.0
2024,11,4,경기도,파주시,통일전망대,35691,35691.0
2024,11,5,경기도,파주시,퍼스트가든,20904,20904.0
2024,11,6,경기도,파주시,율곡선생유적지,17153,17153.0
2024,11,7,경기도,파주시,벽초지수목원,12938,12938.0
2024,11,8,경기도,파주시,임진각평화누리캠핑장,12015,12015.0
2024,11,9,경기도,파주시,경기미래교육 파주캠퍼스,11734,11734.0
2024,11,10,경기도,파주시,파주놀이구름,10448,10448.0
2024,11,11,경기도,파주시,서서울컨트리클럽,9838,9838.0
2024,11,12,경기도,파주시,파주삼릉,6582,6582.0
2024,11,13,경기도,파주시,공릉관광지(하니랜드),6361,6361.0
2024,11,14,경기도,파주시,서원밸리골프클럽,5842,5842.0
2024,11,15,경기도,파주시,베스트밸리,5725,5725.0
2024,11,16,경기도,파주시,황희선생유적지,3406,3406.0
2024,11,17,경기도,파주시,우농타조농장,3345,3345.0
2024,11,18,경기도,파주시,동화힐링캠핑장,3055,3055.0
2024,11,19,경기도,파주시,황포돛배,2053,2053.0
2024,11,20,경기도,파주시,파주장릉,1307,1307.0
2024,11,21,경기도,파주시,산머루농원,936,936.0
2024,11,22,경기도,파주시,영집궁시박물관,851,851.0
2024,11,23,경기도,파주시,콩세유미술관,470,470.0
2024,11,24,경기도,파주시,아트린뮤지움,342,342.0
2024,11,25,경기도,파주시,두루뫼박물관,73,73.0
