year,month,순위,관광지ID,업소명,분류
2025,7,74,c7854514c1ab5d213113de0aca09eaf1,심학산뜨락,한식
2025,7,75,a6f4edd7a93e34997d8d580de003a6a1,류재은베이커리본점,간이음식
2025,7,76,8abd20e849a08444ed3339238935e781,파주닭국수,한식
2025,7,77,10c0ac494458f47fbf7750a8a517e01f,나능이능이버섯백숙파주문발점,한식
2025,7,78,ee1a0d56e766436beec174678b49d77b,삼고집파주점,한식
2025,7,79,149f62477c3518d30210477ac383103d,장어애,전문음식
2025,7,80,43db5493f2a1a61725d022dcb3922ba4,자반고파주점,한식
2025,7,81,cd7ef14bb56e71064a6de78abd95f8b1,샤브올데이파주봉일천점,전문음식
2025,7,82,9a47e6d29414f4fc652f1e727b9d4c4d,모쿠슈라1호점,전문음식
2025,7,83,efdd66797bcec11d0fe35d032b88e309,파주장단콩두부,한식
2025,7,83,75900729997344cac1b4cd73c5726081,강남면옥파주점,한식
2025,7,85,339058995043bb0b0e60556070753379,산내음파주본점,한식
2025,7,86,8c566e16b26091731a7150ecac8d3956,교맥막국수파주출판단지본점,한식
2025,7,87,f1d0688fd5bc1157bed02c6affde01d7,심학산두부마을,한식
2025,7,88,b12d343ed3413f45b85b97bc1d4f0a6d,육미향파주직영점,한식
2025,7,89,446564ed4b13c8331a4a3163ad6f8910,봄담아파주운정점,전문음식
2025,7,90,6c9f305499466aa9adbf79d02fbbfc24,경복궁삼계탕금촌점,한식
2025,7,91,eb0e176527018ed1872b057fc5a0ac42,청종나주곰탕파주본점,한식
2025,7,92,99ef3e71d0216a46627398467c15a612,명륜진사갈비파주다율점,한식
2025,7,93,26921981a5fc301810ec16912467aaf5,스타벅스파주금릉역점,카페/찻집
2025,7,94,2fba09bc89481d8b0307a2f3e59220d8,마롱리면사무소카페,카페/찻집
2025,7,95,b2ab9804ff1489ba2e7c6e63b240cd3f,심학산바베큐그릴,전문음식
2025,7,96,5384b6a1aad0a2c1b307624f937c8a4e,따순기미,카페/찻집
2025,7,96,1eae1e01b893ef1e9909f6a5d2fea8f1,전국목장연합,한식
2025,7,98,3bf5563a3ec215b190335bcdc63e229e,핏보이즈바베큐,전문음식
2025,7,99,7e946d1c2c804d0b43e484c8e468bced,스타벅스파주교하점,카페/찻집
2025,7,100,95acd56ce59b557df4d1940dd740cd1a,라플란드,카페/찻집
