year,month,순위,관광지ID,관광지명,분류
2025,3,75,c602485ec8e48e58b47c6649a9e3418f,브레드이발소키즈카페/파주운정점,문화관광
2025,3,76,1b9928eeaf2065c6406dca7fd58517c9,마장호수,자연관광
2025,3,77,68a40fc5d3af9364317e6617c5ef97b6,교하중앙공원,문화관광
2025,3,78,dc25a1734524deec5305530844283289,파주라기파크,문화관광
2025,3,79,2123203e314c4344b51602dfbea0ecfc,아지동키즈카페,문화관광
2025,3,80,9982227bb315a9f178ea2119c12ab7e3,잇츠콜라박물관,문화관광
2025,3,81,2f985ecffc58b741fe3edd2283df7247,통일공원,문화관광
2025,3,82,fecd9849410ecc9e0090ee03c761347f,화석정,역사관광
2025,3,83,5f4eb09e90278cec45c8d49b8fc5dc4e,타조마을,체험관광
2025,3,84,5ba58956030aee3e1bff9b33349d5e30,힐즈호텔,숙박
2025,3,85,7cb02cfaa4a6b43d826fa840a7cbdeff,CGV/파주문산,문화관광
2025,3,86,960a133e5e452ad72bc27a9701c308bd,메가박스/파주금촌,문화관광
2025,3,87,13ec13a2c14c8c2d0bbd645c919d63f1,파주메이트호텔,숙박
2025,3,88,2d273bf3ef966385468e84bf74f191ab,브라운도트/금촌점,숙박
2025,3,89,73f74f135bf285175b3a93632caa762a,점핑몬스터/운정직영점,문화관광
2025,3,90,b5b921fae0debd8ef97179dec44d13a6,적성전통시장,쇼핑
2025,3,91,49365eec2577f8f414b07f2ef7371d56,어린이토이박물관,문화관광
2025,3,92,bb4e1f5bdc3916fd604a1b3ffe5a8407,봉일천종합시장,쇼핑
2025,3,93,35b0d5f9c105b6d1db6192118334cd58,활판인쇄박물관,문화관광
2025,3,94,8bd60a88fb5477ed7d1533846f12fe7f,코알라딸기농장,체험관광
2025,3,95,3bffd5b411bdf8e13136ce4afd14ca1c,월롱시민공원,문화관광
2025,3,96,e03bd741ad8e02f4bededc7d785a224e,쥬라리움/파주점,문화관광
2025,3,97,45b3375e636d8bfeb1a33149c5e671dc,파주출판단지근린공원,문화관광
2025,3,98,9a2dccfe851374a00e57d7990500484e,호텔인카페/파주점,숙박
2025,3,99,96e37873b03de8a9d352f65814e8241a,월롱체육공원,문화관광
2025,3,100,25d0070df3cca1abf8d76746f541f1d1,퍼플주니어키즈카페/운정점,문화관광
