year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객총계
2024,9,1,경기도,파주시,임진각관광지,161687,161687.0
2024,9,2,경기도,파주시,헤이리예술마을,68700,68700.0
2024,9,3,경기도,파주시,통일전망대,54085,54085.0
2024,9,4,경기도,파주시,제3땅굴,39583,39583.0
2024,9,5,경기도,파주시,퍼스트가든,25967,25967.0
2024,9,6,경기도,파주시,벽초지수목원,16505,16505.0
2024,9,7,경기도,파주시,파주놀이구름,14759,14759.0
2024,9,8,경기도,파주시,경기미래교육 파주캠퍼스,14294,14294.0
2024,9,9,경기도,파주시,서서울컨트리클럽,12389,12389.0
2024,9,10,경기도,파주시,임진각평화누리캠핑장,11189,11189.0
2024,9,11,경기도,파주시,공릉관광지(하니랜드),10241,10241.0
2024,9,12,경기도,파주시,서원밸리골프클럽,7179,7179.0
2024,9,13,경기도,파주시,베스트밸리,6002,6002.0
2024,9,14,경기도,파주시,황희선생유적지,5387,5387.0
2024,9,15,경기도,파주시,파주삼릉,4093,4093.0
2024,9,16,경기도,파주시,황포돛배,3326,3326.0
2024,9,17,경기도,파주시,산머루농원,2541,2541.0
2024,9,18,경기도,파주시,율곡선생유적지,2477,2477.0
2024,9,19,경기도,파주시,동화힐링캠핑장,2454,2454.0
2024,9,20,경기도,파주시,우농타조농장,2101,2101.0
2024,9,21,경기도,파주시,파주장릉,1857,1857.0
2024,9,22,경기도,파주시,쇠꼴마을,1607,1607.0
2024,9,23,경기도,파주시,콩세유미술관,843,843.0
2024,9,24,경기도,파주시,파주임실치즈스쿨,672,672.0
2024,9,25,경기도,파주시,아트린뮤지움,552,552.0
2024,9,26,경기도,파주시,영집궁시박물관,388,388.0
2024,9,27,경기도,파주시,두루뫼박물관,122,122.0
