year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객총계
2024,2,1,경기도,파주시,임진각관광지,90705,90705.0
2024,2,2,경기도,파주시,헤이리예술마을,33030,33030.0
2024,2,3,경기도,파주시,통일전망대,26319,26319.0
2024,2,4,경기도,파주시,제3땅굴,18434,18434.0
2024,2,5,경기도,파주시,파주놀이구름,16768,16768.0
2024,2,6,경기도,파주시,퍼스트가든,10842,10842.0
2024,2,7,경기도,파주시,경기미래교육 파주캠퍼스,6460,6460.0
2024,2,8,경기도,파주시,공릉관광지(하니랜드),4468,4468.0
2024,2,9,경기도,파주시,서서울컨트리클럽,3914,3914.0
2024,2,10,경기도,파주시,서원밸리골프클럽,3622,3622.0
2024,2,11,경기도,파주시,베스트밸리,2675,2675.0
2024,2,12,경기도,파주시,파주삼릉,2473,2473.0
2024,2,13,경기도,파주시,황희선생유적지,2235,2235.0
2024,2,14,경기도,파주시,벽초지수목원,2205,2205.0
2024,2,15,경기도,파주시,쇠꼴마을,1991,1991.0
2024,2,16,경기도,파주시,우농타조농장,1960,1960.0
2024,2,17,경기도,파주시,파주장릉,1637,1637.0
2024,2,18,경기도,파주시,산머루농원,1461,1461.0
2024,2,19,경기도,파주시,동화힐링캠핑장,1012,1012.0
2024,2,20,경기도,파주시,율곡선생유적지,824,824.0
2024,2,21,경기도,파주시,콩세유미술관,407,407.0
2024,2,22,경기도,파주시,아트린뮤지움,347,347.0
2024,2,23,경기도,파주시,파주임실치즈스쿨,190,190.0
2024,2,24,경기도,파주시,영집궁시박물관,110,110.0
2024,2,25,경기도,파주시,두루뫼박물관,45,45.0
