year,month,순위,관광지ID,업소명,분류
2024,10,74,40a1fbfb5057863de6e260003c7d5998,버거킹파주야당역점,간이음식
2024,10,75,cbcf11a11d4483e4df3d13be179580c1,원조두지리매운탕본점,한식
2024,10,75,088fe4582c122099f82164a7fd11729f,신간짬뽕금촌점 [중식],외국식
2024,10,77,2aa3609360bea13f635a5f7bf91ea318,무고레,한식
2024,10,78,96b3759a49fc73efddf7c74ce0c88188,아이노스,카페/찻집
2024,10,79,a9e0054d7478b71d1e8b6d6d6eef8a65,엄니밥상,전문음식
2024,10,80,3ae3d535ac54cc1b4ae406963c4c3a33,카페8794,카페/찻집
2024,10,81,e147d9c8804ff3675806f6cad24aed07,유가원설농탕,한식
2024,10,82,c493373bf7c1c2109194db43f36af142,신솥해장국&돼지국밥,한식
2024,10,83,f85e3aabe42aea59f78bb286eddd44ca,미꼬담파주운정점 [한식],한식
2024,10,83,c18c30d9666f1919213161a061227fe3,산내대장군집,한식
2024,10,85,054d04de78ebf0c5face239275179b0c,유나마카롱,간이음식
2024,10,86,aabd1ca056462d8194499ccc31e9fc5c,너에게마카롱운정점,간이음식
2024,10,87,c6d6e186fbfd5c93c13b89d013328ad6,육미제당파주운정점,한식
2024,10,88,3c0a04317641aafee2b0933d53fc7cb4,심학산들꽃쌈밥,한식
2024,10,89,e6ce3ea99bbf8c6ea1855aaaaa3676bb,개성손만두파주점,한식
2024,10,90,062786a01fd2f46a693e0b991bf2366e,전주웰빙새알팥죽,간이음식
2024,10,90,65cfa19a133f8e653117a17bf6f8858c,운정화로구이,한식
2024,10,92,c9acc7fb5a210fd8436a18acf26b0a63,파주돌짜장[중식],외국식
2024,10,93,39ecbaf1de6f5338b76011a027e4e99f,온더레일,카페/찻집
2024,10,94,f3dc5cd3046bf706ccef8ffc575b131b,커피공장103헤이리점,카페/찻집
2024,10,95,1f4b425382022e27a4a22cc12a2e7cb9,청송로668부대찌개,전문음식
2024,10,96,f255cab9336d02381065a097816d5f14,가드너스,카페/찻집
2024,10,97,b2ab9804ff1489ba2e7c6e63b240cd3f,심학산바베큐그릴,전문음식
2024,10,97,e3c9e9ffe3dad9fba0192f1a90dfc9c0,청솔식당,한식
2024,10,99,47c47a450c637ee4492d34f30f206863,양평해장국방축점,한식
2024,10,100,d6ec4b067b2617760949edcb3afd362b,KFC파주운정DI점,간이음식
