year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,12,1,경기도,파주시,임진각관광지,92118,92118.0
2024,12,2,경기도,파주시,헤이리예술마을,50660,50660.0
2024,12,3,경기도,파주시,통일전망대,23790,23790.0
2024,12,4,경기도,파주시,퍼스트가든,15060,15060.0
2024,12,5,경기도,파주시,파주놀이구름,13529,13529.0
2024,12,6,경기도,파주시,임진각평화누리캠핑장,11685,11685.0
2024,12,7,경기도,파주시,경기미래교육 파주캠퍼스,7035,7035.0
2024,12,8,경기도,파주시,제3땅굴,5432,5432.0
2024,12,9,경기도,파주시,서서울컨트리클럽,3487,3487.0
2024,12,10,경기도,파주시,서원밸리골프클럽,2807,2807.0
2024,12,11,경기도,파주시,동화힐링캠핑장,2043,2043.0
2024,12,12,경기도,파주시,황희선생유적지,1720,1720.0
2024,12,13,경기도,파주시,파주삼릉,1545,1545.0
2024,12,14,경기도,파주시,벽초지수목원,1457,1457.0
2024,12,15,경기도,파주시,베스트밸리,1282,1282.0
2024,12,16,경기도,파주시,공릉관광지(하니랜드),1148,1148.0
2024,12,17,경기도,파주시,우농타조농장,849,849.0
2024,12,18,경기도,파주시,파주장릉,786,786.0
2024,12,19,경기도,파주시,율곡선생유적지,542,542.0
2024,12,20,경기도,파주시,산머루농원,505,505.0
2024,12,21,경기도,파주시,콩세유미술관,461,461.0
2024,12,22,경기도,파주시,아트린뮤지움,359,359.0
2024,12,23,경기도,파주시,황포돛배,150,150.0
2024,12,24,경기도,파주시,두루뫼박물관,61,61.0
2024,12,25,경기도,파주시,영집궁시박물관,60,60.0
