year,month,순위,광역지자체명,기초지자체명,관광지명,입장객수,입장객 수 총계
2024,8,1,경기도,파주시,임진각관광지,139133,139133.0
2024,8,2,경기도,파주시,통일전망대,67422,67422.0
2024,8,3,경기도,파주시,헤이리예술마을,67100,67100.0
2024,8,4,경기도,파주시,퍼스트가든,22756,22756.0
2024,8,5,경기도,파주시,파주놀이구름,20061,20061.0
2024,8,6,경기도,파주시,서서울컨트리클럽,12075,12075.0
2024,8,7,경기도,파주시,제3땅굴,9985,9985.0
2024,8,8,경기도,파주시,경기미래교육 파주캠퍼스,9020,9020.0
2024,8,9,경기도,파주시,서원밸리골프클럽,8636,8636.0
2024,8,10,경기도,파주시,임진각평화누리캠핑장,7352,7352.0
2024,8,11,경기도,파주시,베스트밸리,5391,5391.0
2024,8,12,경기도,파주시,벽초지수목원,3817,3817.0
2024,8,13,경기도,파주시,공릉관광지(하니랜드),3365,3365.0
2024,8,14,경기도,파주시,황희선생유적지,2782,2782.0
2024,8,15,경기도,파주시,동화힐링캠핑장,2037,2037.0
2024,8,16,경기도,파주시,쇠꼴마을,1872,1872.0
2024,8,17,경기도,파주시,황포돛배,1701,1701.0
2024,8,18,경기도,파주시,파주삼릉,1566,1566.0
2024,8,19,경기도,파주시,산머루농원,1204,1204.0
2024,8,20,경기도,파주시,우농타조농장,1073,1073.0
2024,8,21,경기도,파주시,파주장릉,895,895.0
2024,8,22,경기도,파주시,콩세유미술관,749,749.0
2024,8,23,경기도,파주시,율곡선생유적지,689,689.0
2024,8,24,경기도,파주시,아트린뮤지움,482,482.0
2024,8,25,경기도,파주시,영집궁시박물관,332,332.0
2024,8,26,경기도,파주시,파주임실치즈스쿨,307,307.0
2024,8,27,경기도,파주시,두루뫼박물관,66,66.0
