소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.4,0.9
60대,7.9,4.1
50대,15.9,9.1
40대,17.3,8.9
30대,15.2,7.9
20대,6.5,4.1
10대,0.1,0.1
