순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202012,78441,78441.0
2,경기도,파주시,헤이리예술마을,202012,20350,20350.0
3,경기도,파주시,벽초지수목원,202012,5668,5668.0
4,경기도,파주시,서서울컨트리클럽,202012,4622,4622.0
5,경기도,파주시,공릉관광지(하니랜드),202012,4056,4056.0
6,경기도,파주시,서원밸리골프클럽,202012,3318,3318.0
7,경기도,파주시,경기미래교육 파주캠퍼스,202012,3223,3223.0
8,경기도,파주시,황희선생유적지,202012,3110,3110.0
9,경기도,파주시,파주삼릉,202012,2567,2567.0
10,경기도,파주시,율곡선생유적지,202012,1796,1796.0
11,경기도,파주시,파주장릉,202012,1234,1234.0
12,경기도,파주시,통일전망대,202012,1043,1043.0
13,경기도,파주시,우농타조농장,202012,944,944.0
14,경기도,파주시,소울원,202012,892,892.0
15,경기도,파주시,제3땅굴,202012,846,846.0
16,경기도,파주시,베스트밸리,202012,836,836.0
17,경기도,파주시,쇠꼴마을,202012,120,120.0
18,경기도,파주시,산머루농원,202012,42,42.0
19,경기도,파주시,두루뫼박물관,202012,27,27.0
