유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,53.0,11.5
음식,외국식,53.0,9.1
음식,음식점기타,53.0,0.2
음식,전문음식,53.0,17.6
음식,카페/찻집,53.0,31.2
음식,한식,53.0,30.4
쇼핑,시장,17.0,2.1
쇼핑,쇼핑몰,17.0,95.8
쇼핑,기타쇼핑시설,17.0,2.1
문화관광,테마공원,9.3,5.0
문화관광,전시시설,9.3,7.9
문화관광,복합관광시설,9.3,5.4
문화관광,레저스포츠시설,9.3,3.7
문화관광,랜드마크관광,9.3,3.0
문화관광,도시공원,9.3,45.2
문화관광,기타문화관광지,9.3,12.1
문화관광,공연시설,9.3,17.7
기타관광,기타관광,9.2,100.0
레저스포츠,육상레저스포츠,5.7,94.0
레저스포츠,수상레저스포츠,5.7,4.8
레저스포츠,기타레저스포츠,5.7,1.2
숙박,캠핑,3.0,28.5
숙박,호텔,3.0,43.5
숙박,호스텔,3.0,0.2
숙박,콘도미니엄,3.0,0.9
숙박,모텔,3.0,26.2
숙박,기타숙박,3.0,0.7
역사관광,종교성지,1.2,76.3
역사관광,역사유적지,1.2,23.7
자연관광,자연경관(산),1.0,60.9
자연관광,자연경관(하천/해양),1.0,6.2
자연관광,자연공원,1.0,32.9
체험관광,농/산/어촌체험,0.6,94.1
체험관광,웰니스관광,0.6,5.9
