업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
레저스포츠,82,80,2.5,16589,15255,8.7
문화관광,2932,2801,4.7,16589,15255,8.7
쇼핑,2197,2035,8.0,16589,15255,8.7
숙박,881,683,29.0,16589,15255,8.7
역사관광,4,7,-42.9,16589,15255,8.7
음식,10437,9577,9.0,16589,15255,8.7
자연관광,38,38,0.0,16589,15255,8.7
체험관광,18,34,-47.1,16589,15255,8.7
