업종중분류명,업체명,방문자수,순위
음식,일산칼국수/본점,43.0,1
음식,가나안덕/일산본점,31.0,2
음식,맥도날드/중산DT점,22.0,3
음식,포레스트아웃팅스/일산,18.0,4
음식,설문커피,16.0,5
음식,돈까스클럽/일산동구점,15.0,6
음식,여자만숯불장어구이,14.0,7
음식,훈장골,13.0,8
음식,옐로커피,11.0,9
음식,미덕원/일산점,11.0,10
쇼핑,라페스타,144.0,1
쇼핑,코스트코홀세일/일산점,109.0,2
쇼핑,롯데백화점/일산점,49.0,3
쇼핑,벨라시타,44.0,4
쇼핑,뉴코아아울렛/일산점,43.0,5
쇼핑,이마트/풍산점,27.0,6
쇼핑,홈플러스/고양터미널점,20.0,7
쇼핑,롯데아울렛/고양터미널점,14.0,8
쇼핑,홈플러스/일산점,13.0,9
쇼핑,해태쇼핑타운,12.0,10
문화관광,일산호수공원,60.0,1
문화관광,CGV/일산,8.0,2
문화관광,고양아람누리,6.0,3
문화관광,일산풋볼파크,4.0,4
문화관광,중산체육공원,2.0,5
문화관광,지영구장,2.0,6
문화관광,정발산공원,2.0,7
문화관광,롯데시네마/라페스타,2.0,8
문화관광,지영체육공원,2.0,9
문화관광,고양국제꽃박람회,1.0,10
