업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,62,142,-56.3,19711,18169,8.5
레저스포츠,762,825,-7.6,19711,18169,8.5
문화관광,1304,1002,30.1,19711,18169,8.5
쇼핑,7852,7841,0.1,19711,18169,8.5
숙박,296,279,6.1,19711,18169,8.5
역사관광,553,559,-1.1,19711,18169,8.5
음식,8821,7472,18.1,19711,18169,8.5
자연관광,1,3,-66.7,19711,18169,8.5
체험관광,60,46,30.4,19711,18169,8.5
