순위,관광지ID,업소명,분류
84,77ba4aa5dfd8b476c1efc560c8bad941,아늑,카페/찻집
86,dc3ba5513d3e0b53590e0de6ecb47781,꼿그이,전문음식
86,75b160c3097c65053a28b4169226ece7,생선굽는마을,한식
86,4e54dfa321248f2ad796e7aabd84bb3b,조리샘농원가든,전문음식
89,91149f9664d169bc7ada8271afce05ab,만수옥,전문음식
89,a92b5f46ac324d622594f9442aa7e600,억부인국수집,한식
89,8c1fc94e7f3443197175039dd601232b,임꺽정한우마을,한식
92,7e8124f790ad38b5989feb9d8d7d5502,도깨비탕수육,외국식
93,2323d47699cc1882afcfca3a67684074,FILLMOOD,카페/찻집
94,a80f5e0185dcaffcfa218159835f6c3c,라라코스트파주운정점,전문음식
94,62845268b51eb32358bb7cf6d4746599,안동각,외국식
96,f9ab148ed48809e8c32941f3e2afb592,복많네해물칼국수파주출판단지본점,한식
96,f0e568310827fe14a476a06a095dcfe0,홍익돈까스파주운정점,전문음식
96,c4c6a97335313bd7a9200dc0124abcac,샹배베이커리,간이음식
96,9a365285c5cef5010a2e613e614a8134,홍익돈까스파주금릉점,전문음식
100,1ffda2dbefd704ecc11c40c1fd6b0c88,폴렌베이커리,간이음식
