소비자 연령,비율(남성),비율(여성)
80대,0.2,0.3
70대,1.2,0.8
60대,6.7,4.0
50대,15.2,9.1
40대,16.8,9.6
30대,15.3,8.9
20대,6.6,5.1
10대,0.1,0.1
