지표 코드,지표명,지표 순위값,지역명
1,방문자유입,66,연수구
2,숙박방문자 비율,96,연수구
3,체류시간,168,연수구
4,목적지 검색량,16,연수구
5,관광소비,45,연수구
1,방문자유입,20,남양주시
2,숙박방문자 비율,27,남양주시
3,체류시간,79,남양주시
4,목적지 검색량,10,남양주시
5,관광소비,21,남양주시
1,방문자유입,48,시흥시
2,숙박방문자 비율,60,시흥시
3,체류시간,122,시흥시
4,목적지 검색량,29,시흥시
5,관광소비,22,시흥시
1,방문자유입,44,파주시
2,숙박방문자 비율,54,파주시
3,체류시간,110,파주시
4,목적지 검색량,9,파주시
5,관광소비,23,파주시
