유형 중분류명,유형 소분류명,중분류 검색건수 비율,소분류 검색건수 비율
음식,간이음식,45.5,10.0
음식,외국식,45.5,8.5
음식,음식점기타,45.5,0.3
음식,전문음식,45.5,16.8
음식,카페/찻집,45.5,33.8
음식,한식,45.5,30.7
쇼핑,시장,17.6,2.3
쇼핑,쇼핑몰,17.6,95.8
쇼핑,기타쇼핑시설,17.6,1.9
기타관광,기타관광,11.8,100.0
문화관광,전시시설,11.4,7.3
문화관광,테마공원,11.4,5.6
문화관광,복합관광시설,11.4,9.1
문화관광,레저스포츠시설,11.4,1.4
문화관광,랜드마크관광,11.4,3.5
문화관광,도시공원,11.4,48.6
문화관광,도시/지역문화관광,11.4,0.5
문화관광,기타문화관광지,11.4,4.5
문화관광,공연시설,11.4,19.5
레저스포츠,육상레저스포츠,6.5,90.9
레저스포츠,수상레저스포츠,6.5,7.3
레저스포츠,기타레저스포츠,6.5,1.9
숙박,캠핑,2.8,44.1
숙박,호텔,2.8,34.6
숙박,펜션/민박,2.8,0.2
숙박,콘도미니엄,2.8,1.0
숙박,모텔,2.8,19.6
숙박,기타숙박,2.8,0.5
자연관광,자연경관(산),2.0,33.7
자연관광,자연경관(하천/해양),2.0,8.6
자연관광,자연공원,2.0,57.7
역사관광,역사유적지,1.7,34.6
역사관광,종교성지,1.7,65.0
역사관광,역사유물,1.7,0.4
체험관광,농/산/어촌체험,0.6,97.2
체험관광,웰니스관광,0.6,2.8
