업종중분류명,검색건수,전년동기 검색건수,전년동기 대비 검색율,총검색건수,전년동기 총검색건수,전년동기 대비 총검색율
기타관광,4954,2986,65.9,34488,18431,87.1
레저스포츠,2719,1894,43.6,34488,18431,87.1
문화관광,4632,2396,93.3,34488,18431,87.1
쇼핑,6199,3711,67.0,34488,18431,87.1
숙박,1131,610,85.4,34488,18431,87.1
역사관광,558,384,45.3,34488,18431,87.1
음식,13339,5959,123.8,34488,18431,87.1
자연관광,798,413,93.2,34488,18431,87.1
체험관광,158,78,102.6,34488,18431,87.1
