소비자 연령,비율(남성),비율(여성)
80대,0.2,0.2
70대,1.2,0.8
60대,6.0,3.4
50대,14.2,8.7
40대,17.0,10.3
30대,15.9,9.5
20대,7.4,5.0
10대,0.1,0.1
